field,level,core_n,non_core_n,core_fraction,non_core_fraction,cramers_v,odds_ratio,test,p_value,q_value
ct_manufacturer,PHILIPS,1,2,0.017857142857142856,0.0425531914893617,0.0,,pearson_chi2,0.7411446589826316,0.8335499058344407
ct_manufacturer,SIEMENS,16,14,0.2857142857142857,0.2978723404255319,0.0,,pearson_chi2,0.7411446589826316,0.8335499058344407
ct_scanner_model,Definition,1,2,0.017857142857142856,0.0425531914893617,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Definition AS+,2,3,0.03571428571428571,0.06382978723404255,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Discovery STE,0,1,0.0,0.02127659574468085,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Emotion 6,0,2,0.0,0.0425531914893617,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Gemini TF 64,1,0,0.017857142857142856,0.0,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,LightSpeed Plus,2,1,0.03571428571428571,0.02127659574468085,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,LightSpeed QX/i,9,5,0.16071428571428573,0.10638297872340426,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,LightSpeed Ultra,4,4,0.07142857142857142,0.0851063829787234,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,LightSpeed VCT,6,7,0.10714285714285714,0.14893617021276595,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,LightSpeed16,18,13,0.32142857142857145,0.2765957446808511,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Philips CT Aura,0,1,0.0,0.02127659574468085,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Precedence 16P,0,1,0.0,0.02127659574468085,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,SOMATOM Definition,1,0,0.017857142857142856,0.0,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Sensation 16,2,0,0.03571428571428571,0.0,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Sensation 64,10,3,0.17857142857142858,0.06382978723404255,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_scanner_model,Volume Zoom,0,4,0.0,0.0851063829787234,0.1948921396208116,,pearson_chi2,0.21278623936565572,0.4618801929115857
ct_reconstruction_kernel,AA0,0,1,0.0,0.02127659574468085,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,B,1,1,0.017857142857142856,0.02127659574468085,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,B20f,0,1,0.0,0.02127659574468085,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,B30f,7,6,0.125,0.1276595744680851,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,B30s,0,1,0.0,0.02127659574468085,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,B31f,9,5,0.16071428571428573,0.10638297872340426,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,B41s,0,1,0.0,0.02127659574468085,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,LUNG,0,2,0.0,0.0425531914893617,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,SOFT,4,1,0.07142857142857142,0.02127659574468085,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
ct_reconstruction_kernel,STANDARD,35,28,0.625,0.5957446808510638,0.0,,pearson_chi2,0.4298786203761383,0.6018300685265936
has_mrna_label,False,14,5,0.25,0.10638297872340426,0.1563660620802458,2.8,fisher_exact,0.07649503937986324,0.26773263782952134
has_mrna_label,True,42,42,0.75,0.8936170212765957,0.1563660620802458,2.8,fisher_exact,0.07649503937986324,0.26773263782952134
has_clearcode_label,False,19,8,0.3392857142857143,0.1702127659574468,0.16470417051857628,2.5033783783783785,fisher_exact,0.07177322762806501,0.26773263782952134
has_clearcode_label,True,37,39,0.6607142857142857,0.8297872340425532,0.16470417051857628,2.5033783783783785,fisher_exact,0.07177322762806501,0.26773263782952134
